Rule ID,SDTMIG Version,Rule Version,Class,Domain,Variable,Condition,Rule,Document,Section,Item ,Cited Guidance,Release Notes,,,,,,,,,,,,
CG0020,3.2,1,ALL,ALL,GEN,Use of value 'MULTIPLE' is appropriate to the data being represented,Value in associated codelist or 'MULTIPLE',IG v3.2,3.2.2|4.1.2.8.3,,"3.2.2[Conformance with the SDTMIG Domain Models is minimally indicated by following SDTM-specified controlled terminology and format guidelines for variables, when provided]4.1.2.8.3[The SDTM permits one value for each Qualifier variable per record. If multiple values exist (e.g., due to a ""Check all that apply"" instruction on a CRF), then the value for the Qualifier variable should be ""MULTIPLE"" and SUPP-- should be used to store the individual responses.]",Cited guidance sections added.,,,,,,,,,,,,
CG0020,3.3,1,ALL,ALL,GEN,Use of value 'MULTIPLE' is appropriate to the data being represented,Value in associated codelist or 'MULTIPLE',IG v3.3,3.2.2|4.2.8.3,,"3.2.2[Conformance with the SDTMIG Domain Models is minimally indicated by following SDTM-specified controlled terminology and format guidelines for variables, when provided]4.2.8.3[The SDTM permits one value for each Qualifier variable per record. If multiple values exist (e.g., due to a ""Check all that apply"" instruction on a CRF), then the value for the Qualifier variable should be ""MULTIPLE"" and SUPP-- should be used to store the individual responses.]",Cited guidance sections added.,,,,,,,,,,,,
CG0020,3.4,1,ALL,ALL,GEN,Use of value 'MULTIPLE' is appropriate to the data being represented,Value in associated codelist or 'MULTIPLE',IG v3.4,3.2.2|4.2.8.3,,"3.2.2[Conformance with the SDTMIG Domain Models is minimally indicated by following SDTM-specified controlled terminology and format guidelines for variables, when provided]|4.2.8.3[The SDTM permits one value for each Qualifier variable per record. If multiple values exist (e.g., due to a ""Check all that apply"" instruction on a CRF), then the value for the Qualifier variable should be ""MULTIPLE"" and SUPP-- should be used to store the individual responses.]",,,,,,,,,,,,,
CG0021,3.2,1,ALL,ALL,GEN,Variable associated with extensible codelist and the use of value 'OTHER' is appropriate to the data being represented,Value in associated codelist or 'OTHER',IG v3.2,3.2.2|4.1.2.7.1,,"3.2.2[Conformance with the SDTMIG Domain Models is minimally indicated by following SDTM-specified controlled terminology and format guidelines for variables, when provided]|4.1.2.7.1[When the CRF includes a list of values for a qualifier field that includes ""Other"" and the ""Other"" is supplemented with a ""Specify"" free text field,]",,,,,,,,,,,,,
CG0021,3.3,1,ALL,ALL,GEN,Variable associated with extensible codelist and the use of value 'OTHER' is appropriate to the data being represented,Value in associated codelist or 'OTHER',IG v3.3,3.2.2|4.2.7.1,,"3.2.2[Conformance with the SDTMIG Domain Models is minimally indicated by following SDTM-specified controlled terminology and format guidelines for variables, when provided]|4.2.7.1[When the CRF includes a list of values for a qualifier field that includes ""Other"" and the ""Other"" is supplemented with a ""Specify"" free text field,]",,,,,,,,,,,,,
CG0021,3.4,1,ALL,ALL,GEN,Variable associated with extensible codelist and the use of value 'OTHER' is appropriate to the data being represented,Value in associated codelist or 'OTHER',IG v3.4,3.2.2|4.2.7.1,,"3.2.2[Conformance with the SDTMIG Domain Models is minimally indicated by following SDTM-specified controlled terminology and format guidelines for variables, when provided]|4.2.7.1[When the CRF includes a list of values for a qualifier field that includes ""Other"" and the ""Other"" is supplemented with a ""Specify"" free text field,]",No Change,,,,,,,,,,,,
CG0022,3.2,1,ALL,ALL,--LNKGRP,--LNKGRP present in a domain,--LNKGRP present in another domain,IG v3.2,6.1,Specification,"Identifier used to link related, grouped records across domains.",,,,,,,,,,,,,
CG0022,3.3,1,ALL,ALL,--LNKGRP,--LNKGRP present in a domain,--LNKGRP present in another domain,IG v3.3,4.2.6,2.E.2,"--LNKGRP is a grouping identifier used to identify a group of records in one domain that is related to a record in another domain, often forming a many-to-one relationship.",,,,,,,,,,,,,
CG0022,3.4,1,ALL,ALL,--LNKGRP,--LNKGRP present in a domain,--LNKGRP present in another domain,IG v3.4,4.2.6,2.E.2,"--LNKGRP is a grouping identifier used to identify a group of records in one domain that is related to a record in another domain, often forming a many-to-one relationship.",No Change,,,,,,,,,,,,
CG0024,3.2,1,ALL,ALL,--LNKID,--LNKID present in a domain,--LNKID present in another domain,IG v3.2,6.1,Specification,Identifier used to link related records across domains.,,,,,,,,,,,,,
