SDTM Class,Domain,Variable Order,Class,Dataset Name,Variable Name,Variable Label,Type,CDISC CT Codelist Code(s),Codelist Submission Value(s),Described Value Domain(s),Value List,Role,Core,CDISC Notes
Events,AE,28.0,Events,AE,AESER,Serious Event,Char,C66742,,,,Record Qualifier,Exp,"Is this a serious event? Valid values are ""Y"" and ""N""."
Events,AE,29.0,Events,AE,AEACN,Action Taken with Study Treatment,Char,C66767,,,,Record Qualifier,Exp,"Describes changes to the study treatment as a result of the event. AEACN is specifically for the relationship to study treatment. AEACNOTH is for actions unrelated to dose adjustments of study treatment. Examples of AEACN values include ICH E2B values: ""DRUG WITHDRAWN"", ""DOSE REDUCED"", ""DOSE INCREASED"", ""DOSE NOT CHANGED"", ""UNKNOWN"" and ""NOT APPLICABLE""."
Events,AE,30.0,Events,AE,AEACNOTH,Other Action Taken,Char,,,,,Record Qualifier,Perm,"Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment. Usually reported as free text. Example: ""TREATMENT UNBLINDED. PRIMARY CARE PHYSICIAN NOTIFIED""."
Events,AE,31.0,Events,AE,AEACNDEV,Action Taken with Device,Char,C111110,,,,Record Qualifier,Perm,An action taken with a device as the result of the event. The device may or may not be a device under study.
Events,AE,32.0,Events,AE,AEREL,Causality,Char,,,,,Record Qualifier,Exp,"Records the investigator's opinion as to the causality of the event to the treatment. ICH does not establish any required or recommended terms for non-device relatedness. ICH E2A and E2B examples include (up-cased here for alignment to SDTM conventions) terms such as ""NOT RELATED"", ""UNLIKELY RELATED"", ""POSSIBLY RELATED"", ""RELATED"", but these example terms do not establish any conventions or expectations. Controlled terminology may be defined in the future. Check with regulatory authority for population of this variable."
Events,AE,33.0,Events,AE,AERLDEV,Relationship of Event to Device,Char,,,,,Record Qualifier,Perm,"A judgment as to the likelihood that the device caused the adverse event. The relationship is to a device identified in the data (i.e., has an SPDEVID). The device may be ancillary or under study. \n Terminology: \n * In the EU, follow the European Commission Guidelines on Medical Devices, Clinical Investigations: SAE Reporting (MEDDEV 2.7/3) (e.g., Not Related, Unlikely, Possible, Probable, Causal Relationship), with device-specific definitions. \n * No required Controlled Terminology in US."
Events,AE,34.0,Events,AE,AERELNST,Relationship to Non-Study Treatment,Char,,,,,Record Qualifier,Perm,"Records the investigator's opinion as to whether the event may have been due to a treatment other than study drug. May be reported as free text. Example: ""MORE LIKELY RELATED TO ASPIRIN USE""."
Events,AE,35.0,Events,AE,AEPATT,Pattern of Adverse Event,Char,,,,,Record Qualifier,Perm,"Used to indicate the pattern of the event over time. Examples: ""INTERMITTENT"", ""CONTINUOUS"", ""SINGLE EVENT""."
Events,AE,36.0,Events,AE,AEOUT,Outcome of Adverse Event,Char,C66768,,,,Record Qualifier,Perm,Description of the outcome of an event.
Events,AE,37.0,Events,AE,AESCAN,Involves Cancer,Char,C66742,,,,Record Qualifier,Perm,"Was the serious event associated with the development of cancer? Valid values are ""Y"" and ""N"". This is a legacy seriousness criterion. It is not included in ICH E2A or E2B."
Events,AE,38.0,Events,AE,AESCONG,Congenital Anomaly or Birth Defect,Char,C66742,,,,Record Qualifier,Perm,"Was the serious event associated with congenital anomaly or birth defect? Valid values are ""Y"" and ""N""."
Events,AE,39.0,Events,AE,AESDISAB,Persist or Signif Disability/Incapacity,Char,C66742,,,,Record Qualifier,Perm,"Did the serious event result in persistent or significant disability/incapacity? Valid values are ""Y"" and ""N""."
Events,AE,40.0,Events,AE,AESDTH,Results in Death,Char,C66742,,,,Record Qualifier,Perm,"Did the serious event result in death? Valid values are ""Y"" and ""N""."
Events,AE,41.0,Events,AE,AESHOSP,Requires or Prolongs Hospitalization,Char,C66742,,,,Record Qualifier,Perm,"Did the serious event require or prolong hospitalization? Valid values are ""Y"" and ""N""."
Events,AE,42.0,Events,AE,AESLIFE,Is Life Threatening,Char,C66742,,,,Record Qualifier,Perm,"Was the serious event life-threatening? Valid values are ""Y"" and ""N""."
Events,AE,43.0,Events,AE,AESOD,Occurred with Overdose,Char,C66742,,,,Record Qualifier,Perm,"Did the serious event occur with an overdose? Valid values are ""Y"" and ""N"". This is a legacy seriousness criterion. It is not included in ICH E2A or E2B."
Events,AE,44.0,Events,AE,AESMIE,Other Medically Important Serious Event,Char,C66742,,,,Record Qualifier,Perm,"Do additional categories for seriousness apply? Valid values are ""Y"" and ""N""."
Events,AE,45.0,Events,AE,AESINTV,Needs Intervention to Prevent Impairment,Char,C66742,,,,Record Qualifier,Perm,"Records whether medical or surgical intervention was necessary to preclude permanent impairment of a body function, or to prevent permanent damage to a body structure, with either situation suspected to be due to the use of a medical product. This variable is used in conjunction with the other ""seriousness"" variables (e.g., fatal, life-threatening). It is part of the US federal government definition of a serious adverse event; see 21 CFR Part 803.3(w)(3)."
Events,AE,46.0,Events,AE,AEUNANT,Unanticipated Adverse Device Effect,Char,C66742,,,,Record Qualifier,Perm,"Any serious adverse effect on health or safety or any life-threatening problem or death caused by or associated with a device, if that effect, problem, or death was not previously identified in nature, severity, or degree of incidence in the investigational plan or application (including a supplementary plan or application), \n or \n any other unanticipated serious problem associated with a device that relates to the rights, safety, or welfare of subjects. (21 CFR Part 812.3(s)). \n This variable applies only to serious AEs and should hold collected data; if the value is derived, it should be held in ADaM."
Events,AE,47.0,Events,AE,AERLPRT,Rel of AE to Non-Dev-Rel Study Activity,Char,,,,,Record Qualifier,Perm,"The investigator's opinion as to the causality of the event as related to other protocol-required activities, actions, or assessments (e.g., medication changes, tests/assessments, other procedures). The relationship is to a protocol-specified, non-device-related activity where the device is identified in the data (i.e., has an SPDEVID). The device may be ancillary or under study. \n Terminology: \n * In the EU, follow the European Commission Guidelines on Medical Devices, Clinical Investigations: SAE Reporting (MEDDEV 2.7/3) (e.g., Not Related, Unlikely, Possible, Probable, Causal Relationship), with device-specific definitions. \n * No required Controlled Terminology in US."
Events,AE,48.0,Events,AE,AERLPRC,Rel of AE to Device-Related Procedure,Char,,,,,Record Qualifier,Perm,"The investigator's opinion as to the likelihood that the device-related study procedure (e.g., implant/insertion, revision/adjustment, explant/removal) caused the AE. The relationship is to a device-related procedure where the device is identified in the data (i.e., has an SPDEVID). The device may be ancillary or under study. \n Terminology: \n * In the EU, follow the European Commission Guidelines on Medical Devices, Clinical Investigations: SAE Reporting (MEDDEV 2.7/3) (e.g., Not Related, Unlikely, Possible, Probable, Causal Relationship), with device-specific definitions. \n * No required Controlled Terminology in US."
Events,AE,49.0,Events,AE,AECONTRT,Concomitant or Additional Trtmnt Given,Char,C66742,,,,Record Qualifier,Perm,"Was another treatment given because of the occurrence of the event? Valid values are ""Y"" and ""N""."
Events,AE,50.0,Events,AE,AETOXGR,Standard Toxicity Grade,Char,,,,,Record Qualifier,Perm,"Toxicity grade according to a standard toxicity scale (e.g., Common Terminology Criteria for Adverse Events, CTCAE). Sponsors should specify the name of the scale and version used in the metadata (see assumption 7d). If value is from a numeric scale, represent only the number (e.g., ""2"", not ""Grade 2"")."
Events,AE,51.0,Events,AE,TAETORD,Planned Order of Element within Arm,Num,,,,,Timing,Perm,Number that gives the planned order of the element within the arm.
